iter	Passed	Remaining
0	94	94137
1	125	62662
2	156	52037
3	191	47750
4	228	45520
5	262	43558
6	299	42429
7	328	40710
8	368	40585
9	406	40261
10	444	39957
11	478	39373
12	514	39066
13	552	38884
14	585	38471
15	622	38265
16	660	38178
17	698	38087
18	731	37756
19	762	37357
20	791	36900
21	821	36535
22	857	36423
23	891	36241
24	925	36105
25	961	36000
26	992	35778
27	1023	35532
28	1059	35488
29	1097	35499
30	1137	35570
31	1172	35453
32	1205	35319
33	1237	35147
34	1269	35013
35	1303	34899
36	1339	34851
37	1371	34721
38	1402	34562
39	1429	34305
40	1467	34324
41	1504	34310
42	1539	34260
43	1569	34110
44	1602	34003
45	1631	33834
46	1660	33673
47	1695	33629
48	1734	33665
49	1772	33669
50	1805	33598
51	1835	33456
52	1863	33303
53	1895	33198
54	1929	33150
55	1964	33116
56	2000	33096
57	2030	32981
58	2058	32838
59	2091	32770
60	2129	32786
61	2165	32766
62	2209	32856
63	2241	32775
64	2269	32639
65	2299	32537
66	2328	32425
67	2365	32427
68	2404	32441
69	2444	32479
70	2476	32399
71	2505	32296
72	2535	32197
73	2568	32136
74	2603	32103
75	2638	32083
76	2671	32018
77	2699	31909
78	2730	31828
79	2759	31731
80	2794	31702
81	2832	31712
82	2869	31700
83	2898	31608
84	2928	31522
85	2959	31455
86	2994	31426
87	3032	31427
88	3068	31407
89	3106	31405
90	3140	31367
91	3170	31287
92	3203	31242
93	3240	31231
94	3276	31217
95	3313	31203
96	3348	31172
97	3382	31128
98	3413	31070
99	3446	31020
100	3476	30946
101	3515	30949
102	3546	30882
103	3572	30775
104	3599	30681
105	3633	30642
106	3670	30630
107	3708	30627
108	3740	30578
109	3769	30496
110	3802	30458
111	3837	30429
112	3872	30399
113	3906	30358
114	3942	30337
115	3970	30261
116	3997	30166
117	4028	30108
118	4066	30105
119	4101	30075
120	4136	30047
121	4170	30012
122	4204	29979
123	4242	29971
124	4277	29945
125	4317	29950
126	4354	29929
127	4389	29904
128	4421	29851
129	4450	29787
130	4479	29716
131	4516	29699
132	4551	29668
133	4587	29645
134	4620	29602
135	4644	29508
136	4674	29446
137	4709	29419
138	4744	29389
139	4781	29373
140	4818	29355
141	4847	29288
142	4878	29236
143	4909	29181
144	4943	29152
145	4979	29124
146	5014	29098
147	5051	29078
148	5083	29032
149	5118	29007
150	5155	28987
151	5193	28974
152	5229	28948
153	5263	28912
154	5291	28848
155	5352	28957
156	5389	28937
157	5423	28900
158	5458	28872
159	5488	28814
160	5516	28746
161	5546	28689
162	5580	28655
163	5615	28624
164	5649	28592
165	5684	28557
166	5716	28516
167	5745	28454
168	5777	28406
169	5813	28385
170	5845	28337
171	5877	28295
172	5910	28252
173	5941	28204
174	5973	28158
175	6003	28107
176	6035	28061
177	6074	28049
178	6111	28031
179	6145	27993
180	6177	27951
181	6210	27914
182	6245	27882
183	6281	27857
184	6319	27839
185	6349	27787
186	6379	27737
187	6411	27690
188	6438	27626
189	6473	27596
190	6511	27578
191	6542	27533
192	6576	27496
193	6607	27452
194	6630	27372
195	6659	27319
196	6689	27268
197	6728	27253
198	6761	27216
199	6797	27191
200	6825	27131
201	6856	27084
202	6889	27048
203	6914	26979
204	6947	26942
205	6979	26902
206	7011	26861
207	7042	26817
208	7073	26770
209	7112	26757
210	7146	26724
211	7179	26687
212	7217	26668
213	7248	26624
214	7279	26578
215	7310	26535
216	7348	26515
217	7384	26490
218	7423	26474
219	7457	26440
220	7486	26390
221	7518	26349
222	7553	26319
223	7588	26288
224	7619	26245
225	7659	26231
226	7693	26197
227	7723	26150
228	7754	26107
229	7789	26078
230	7825	26051
231	7858	26015
232	7892	25981
233	7924	25941
234	7956	25900
235	7993	25876
236	8019	25816
237	8056	25794
238	8091	25764
239	8123	25724
240	8155	25685
241	8191	25656
242	8224	25622
243	8258	25588
244	8292	25554
245	8329	25529
246	8364	25500
247	8403	25482
248	8437	25448
249	8471	25414
250	8506	25382
251	8534	25332
252	8563	25283
253	8600	25259
254	8634	25227
255	8670	25198
256	8710	25183
257	8740	25136
258	8771	25095
259	8804	25057
260	8840	25032
261	8873	24995
262	8908	24964
263	8967	24999
264	9015	25004
265	9052	24978
266	9083	24938
267	9122	24916
268	9161	24895
269	9195	24862
270	9232	24836
271	9265	24799
272	9299	24764
273	9335	24735
274	9365	24691
275	9395	24647
276	9428	24609
277	9461	24571
278	9500	24550
279	9535	24521
280	9573	24497
281	9602	24448
282	9632	24404
283	9663	24361
284	9701	24338
285	9736	24308
286	9769	24269
287	9801	24232
288	9831	24188
289	9864	24150
290	9901	24125
291	9937	24096
292	9971	24060
293	10006	24028
294	10039	23991
295	10074	23959
296	10112	23936
297	10149	23909
298	10187	23884
299	10220	23847
300	10249	23802
301	10283	23768
302	10319	23738
303	10358	23715
304	10392	23682
305	10426	23648
306	10463	23619
307	10500	23592
308	10535	23559
309	10565	23516
310	10600	23485
311	10639	23460
312	10669	23417
313	10698	23374
314	10733	23340
315	10768	23308
316	10804	23278
317	10838	23245
318	10866	23198
319	10897	23157
320	10928	23116
321	10963	23084
322	10997	23050
323	11034	23022
324	11071	22995
325	11104	22958
326	11137	22923
327	11174	22893
328	11217	22877
329	11251	22844
330	11290	22819
331	11327	22792
332	11357	22749
333	11393	22718
334	11430	22690
335	11464	22655
336	11499	22623
337	11531	22586
338	11559	22539
339	11586	22491
340	11620	22457
341	11659	22433
342	11696	22404
343	11732	22372
344	11760	22328
345	11790	22286
346	11823	22250
347	11860	22222
348	11895	22188
349	11931	22158
350	11968	22129
351	11995	22083
352	12028	22046
353	12064	22015
354	12099	21984
355	12135	21952
356	12171	21922
357	12205	21888
358	12239	21853
359	12276	21824
360	12306	21783
361	12341	21750
362	12377	21720
363	12409	21682
364	12437	21638
365	12476	21612
366	12513	21583
367	12547	21549
368	12584	21519
369	12616	21481
370	12649	21445
371	12683	21412
372	12716	21376
373	12746	21335
374	12777	21295
375	12806	21254
376	12837	21214
377	12869	21176
378	12905	21146
379	12939	21112
380	12979	21086
381	13012	21051
382	13047	21019
383	13082	20986
384	13123	20964
385	13159	20931
386	13197	20904
387	13226	20862
388	13257	20823
389	13295	20796
390	13328	20759
391	13364	20729
392	13398	20694
393	13431	20658
394	13462	20619
395	13489	20574
396	13525	20543
397	13560	20510
398	13596	20479
399	13631	20447
400	13662	20409
401	13694	20372
402	13725	20332
403	13760	20299
404	13794	20266
405	13825	20227
406	13865	20201
407	13896	20164
408	13930	20129
409	13965	20096
410	14000	20064
411	14033	20028
412	14070	19998
413	14101	19960
414	14132	19921
415	14170	19893
416	14205	19860
417	14239	19826
418	14276	19795
419	14307	19758
420	14338	19719
421	14370	19682
422	14406	19652
423	14440	19617
424	14474	19583
425	14506	19546
426	14535	19505
427	14571	19474
428	14606	19441
429	14643	19411
430	14681	19382
431	14711	19343
432	14745	19309
433	14777	19272
434	14812	19239
435	14848	19207
436	14885	19177
437	14917	19141
438	14951	19106
439	14986	19073
440	15022	19041
441	15062	19015
442	15097	18982
443	15129	18945
444	15159	18906
445	15194	18873
446	15229	18841
447	15267	18811
448	15302	18778
449	15339	18748
450	15368	18708
451	15404	18675
452	15440	18644
453	15475	18611
454	15508	18576
455	15546	18547
456	15577	18508
457	15608	18471
458	15646	18441
459	15679	18405
460	15712	18371
461	15745	18336
462	15777	18299
463	15805	18257
464	15840	18225
465	15876	18193
